EVENTTIME,APPLICATIONID,NOTIFICATIONID,PUBLISHTIME,SUBSCRIPTIONID,NOTIFICATIONTYPE,NOTIFICATIONVERSION,ASIN,ITEMCONDITION,MARKETPLACEID,OFFERCHANGETYPE,TIMEOFOFFERCHANGE,ISBUYBOXWINNER,ISFEATUREDMERCHANT,ISFULFILLEDBYAMAZON,LISTINGPRICEAMOUNT,LISTINGPRICECURRENCYCODE,PRIMEINFORMATION_ISOFFERNATIONALPRIME,PRIMEINFORMATION_ISOFFERPRIME,FEEDBACKCOUNT,SELLERPOSITIVEFEEDBACKRATING,SHIPPINGAMOUNT,SHIPPINGCURRENCYCODE,SHIPPINGAVAILABILITYTYPE,SHIPPINGAVAILABLEDATE,SHIPPINGMAXIMUMHOURS,SHIPPINGMINIMUMHOURS,SHIPSDOMESTICALLY,SHIPPING_COUNTRY,SHIPPING_STATE,OFFERS_SELLERID,SUBCONDITION
2024-05-17 09:50:26.567 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,f359655d-4672-4412-8f5f-3fcd9a15ba5d,2024-05-17 09:50:26.720 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B07F2CJW64,new,ATVPDKIKX0DER,Internal,2024-05-17 09:50:26.447 Z,false,true,false,10.47,USD,false,false,37313,89,0,USD,NOW,,1,1,true,"""US""","""TX""",APSAI9VUG3A9O,new
2024-05-17 09:50:26.567 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,f359655d-4672-4412-8f5f-3fcd9a15ba5d,2024-05-17 09:50:26.720 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B07F2CJW64,new,ATVPDKIKX0DER,Internal,2024-05-17 09:50:26.447 Z,false,true,false,11,USD,false,true,89815,97,0,USD,NOW,,24,24,true,"""US""","""VA""",A1G2IX65IQJHUO,new
2024-05-17 09:50:26.567 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,f359655d-4672-4412-8f5f-3fcd9a15ba5d,2024-05-17 09:50:26.720 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B07F2CJW64,new,ATVPDKIKX0DER,Internal,2024-05-17 09:50:26.447 Z,false,true,false,15.91,USD,false,false,181,92,0,USD,NOW,,24,24,true,"""US""","""TX""",A2I0HOF5WGMLJC,new
2024-05-17 09:50:26.295 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,14fb251b-1793-4489-8118-23095cea28d0,2024-05-17 09:50:26.527 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B01BQI4J56,new,ATVPDKIKX0DER,Internal,2024-05-17 09:50:26.093 Z,false,true,false,13.91,USD,false,false,89815,97,0,USD,NOW,,24,24,true,"""US""","""VA""",A1G2IX65IQJHUO,new
2024-05-17 09:50:26.295 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,14fb251b-1793-4489-8118-23095cea28d0,2024-05-17 09:50:26.527 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B01BQI4J56,new,ATVPDKIKX0DER,Internal,2024-05-17 09:50:26.093 Z,true,true,false,14.91,USD,false,false,63837,92,0,USD,NOW,,24,24,true,"""US""","""CA""",A3A5024GKCOK6V,new
2024-05-17 09:50:26.295 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,14fb251b-1793-4489-8118-23095cea28d0,2024-05-17 09:50:26.527 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B01BQI4J56,new,ATVPDKIKX0DER,Internal,2024-05-17 09:50:26.093 Z,false,true,false,15.14,USD,false,false,34276,96,0,USD,NOW,,24,24,true,"""US""","""VA""",A37RYXSF82P86Q,new
2024-05-17 09:50:26.295 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,14fb251b-1793-4489-8118-23095cea28d0,2024-05-17 09:50:26.527 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B01BQI4J56,new,ATVPDKIKX0DER,Internal,2024-05-17 09:50:26.093 Z,false,true,false,17.03,USD,false,false,181,92,0,USD,NOW,,24,24,true,"""US""","""TX""",A2I0HOF5WGMLJC,new
2024-05-17 09:50:26.295 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,14fb251b-1793-4489-8118-23095cea28d0,2024-05-17 09:50:26.527 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B01BQI4J56,new,ATVPDKIKX0DER,Internal,2024-05-17 09:50:26.093 Z,false,true,false,17.04,USD,false,false,31370,94,0,USD,NOW,,24,24,true,"""US""","""OH""",AFF8XSNGT0QQC,new
2024-05-17 09:50:26.295 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,14fb251b-1793-4489-8118-23095cea28d0,2024-05-17 09:50:26.527 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B01BQI4J56,new,ATVPDKIKX0DER,Internal,2024-05-17 09:50:26.093 Z,false,true,false,17.08,USD,false,false,37313,89,0,USD,NOW,,1,1,true,"""US""","""TX""",APSAI9VUG3A9O,new
2024-05-17 09:50:36.631 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,4ee48726-29ee-495a-bf51-e55fc2653cbb,2024-05-17 09:50:36.686 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B085L9S6XK,new,ATVPDKIKX0DER,FeaturedOffer,2024-05-17 09:50:36.236 Z,false,true,false,13,USD,false,false,233,97,0,USD,NOW,,24,24,true,"""US""","""NY""",A1WUK73KVX13DN,new
2024-05-17 09:50:36.631 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,4ee48726-29ee-495a-bf51-e55fc2653cbb,2024-05-17 09:50:36.686 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B085L9S6XK,new,ATVPDKIKX0DER,FeaturedOffer,2024-05-17 09:50:36.236 Z,true,true,false,13.05,USD,false,false,37313,89,0,USD,NOW,,1,1,true,"""US""","""TX""",APSAI9VUG3A9O,new
2024-05-17 09:50:36.631 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,4ee48726-29ee-495a-bf51-e55fc2653cbb,2024-05-17 09:50:36.686 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B085L9S6XK,new,ATVPDKIKX0DER,FeaturedOffer,2024-05-17 09:50:36.236 Z,false,true,false,14.98,USD,false,false,181,92,0,USD,NOW,,24,24,true,"""US""","""TX""",A2I0HOF5WGMLJC,new
2024-05-17 09:50:36.631 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,4ee48726-29ee-495a-bf51-e55fc2653cbb,2024-05-17 09:50:36.686 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B085L9S6XK,new,ATVPDKIKX0DER,FeaturedOffer,2024-05-17 09:50:36.236 Z,false,true,false,14.99,USD,false,false,4783,84,0,USD,NOW,,24,24,true,"""US""","""TN""",A32YGV37EPHIKJ,new
2024-05-17 09:50:36.631 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,4ee48726-29ee-495a-bf51-e55fc2653cbb,2024-05-17 09:50:36.686 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B085L9S6XK,new,ATVPDKIKX0DER,FeaturedOffer,2024-05-17 09:50:36.236 Z,false,true,false,16.3,USD,false,false,11,82,0,USD,NOW,,24,24,true,"""US""","""NY""",A13NYAASDR0XYP,new
2024-05-17 09:50:36.631 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,4ee48726-29ee-495a-bf51-e55fc2653cbb,2024-05-17 09:50:36.686 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B085L9S6XK,new,ATVPDKIKX0DER,FeaturedOffer,2024-05-17 09:50:36.236 Z,false,true,false,17,USD,false,false,1322,92,0,USD,NOW,,48,24,true,"""US""","""OH""",A1WRO17LQ93PQ0,new
2024-05-17 09:50:35.576 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,9c0b2813-437d-432b-a26b-5f2c09095780,2024-05-17 09:50:35.997 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B000RH1SRU,new,ATVPDKIKX0DER,Internal,2024-05-17 09:50:35.206 Z,false,true,false,14.14,USD,false,false,7475,57,0,USD,NOW,,96,72,true,"""US""","""MI""",AKGQ69TTJ5VEW,new
2024-05-17 09:50:35.576 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,9c0b2813-437d-432b-a26b-5f2c09095780,2024-05-17 09:50:35.997 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B000RH1SRU,new,ATVPDKIKX0DER,Internal,2024-05-17 09:50:35.206 Z,true,true,false,14.27,USD,false,false,26476,92,0,USD,NOW,,48,24,true,"""US""","""VA""",A1ECJT9FQ4WMHJ,new
2024-05-17 09:50:35.576 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,9c0b2813-437d-432b-a26b-5f2c09095780,2024-05-17 09:50:35.997 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B000RH1SRU,new,ATVPDKIKX0DER,Internal,2024-05-17 09:50:35.206 Z,false,true,false,14.83,USD,false,false,17006,87,0,USD,NOW,,48,24,true,"""US""","""CA""",ABOPLAY6RS86X,new
2024-05-17 09:50:35.576 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,9c0b2813-437d-432b-a26b-5f2c09095780,2024-05-17 09:50:35.997 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B000RH1SRU,new,ATVPDKIKX0DER,Internal,2024-05-17 09:50:35.206 Z,false,true,false,14.84,USD,false,false,158980,69,0,USD,NOW,,1,1,true,"""US""","""GA""",AQNACJEM8PUJ1,new
2024-05-17 09:50:35.576 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,9c0b2813-437d-432b-a26b-5f2c09095780,2024-05-17 09:50:35.997 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B000RH1SRU,new,ATVPDKIKX0DER,Internal,2024-05-17 09:50:35.206 Z,true,true,true,15.85,USD,true,true,17385,98,0,USD,NOW,,0,0,true,,,A1S6VZ8ADM321W,new
2024-05-17 09:50:35.576 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,9c0b2813-437d-432b-a26b-5f2c09095780,2024-05-17 09:50:35.997 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B000RH1SRU,new,ATVPDKIKX0DER,Internal,2024-05-17 09:50:35.206 Z,false,true,true,16.16,USD,true,true,34276,96,0,USD,NOW,,0,0,true,,,A37RYXSF82P86Q,new
2024-05-17 09:50:35.576 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,9c0b2813-437d-432b-a26b-5f2c09095780,2024-05-17 09:50:35.997 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B000RH1SRU,new,ATVPDKIKX0DER,Internal,2024-05-17 09:50:35.206 Z,false,true,false,16.49,USD,false,false,5670,88,0,USD,NOW,,48,24,true,"""US""","""NE""",A147ASZ83GESTI,new
2024-05-17 09:50:35.576 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,9c0b2813-437d-432b-a26b-5f2c09095780,2024-05-17 09:50:35.997 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B000RH1SRU,new,ATVPDKIKX0DER,Internal,2024-05-17 09:50:35.206 Z,false,true,false,17,USD,false,false,36485,97,0,USD,NOW,,48,24,true,"""US""","""FL""",A259WN8J4HIVH5,new
2024-05-17 09:50:35.576 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,9c0b2813-437d-432b-a26b-5f2c09095780,2024-05-17 09:50:35.997 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B000RH1SRU,new,ATVPDKIKX0DER,Internal,2024-05-17 09:50:35.206 Z,false,true,false,17.18,USD,false,false,4255,93,0,USD,NOW,,0,0,true,"""US""","""FL""",A3TU40KD8IBL7L,new
2024-05-17 09:50:35.576 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,9c0b2813-437d-432b-a26b-5f2c09095780,2024-05-17 09:50:35.997 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B000RH1SRU,new,ATVPDKIKX0DER,Internal,2024-05-17 09:50:35.206 Z,false,true,false,17.2,USD,false,false,31370,94,0,USD,NOW,,24,24,true,"""US""","""OH""",AFF8XSNGT0QQC,new
2024-05-17 09:50:35.576 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,9c0b2813-437d-432b-a26b-5f2c09095780,2024-05-17 09:50:35.997 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B000RH1SRU,new,ATVPDKIKX0DER,Internal,2024-05-17 09:50:35.206 Z,false,true,false,17.3,USD,false,false,63837,92,0,USD,NOW,,24,24,true,"""US""","""CA""",A3A5024GKCOK6V,new
2024-05-17 09:50:35.576 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,9c0b2813-437d-432b-a26b-5f2c09095780,2024-05-17 09:50:35.997 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B000RH1SRU,new,ATVPDKIKX0DER,Internal,2024-05-17 09:50:35.206 Z,false,true,false,17.71,USD,false,false,89815,97,0,USD,NOW,,24,24,true,"""US""","""VA""",A1G2IX65IQJHUO,new
2024-05-17 09:50:35.576 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,9c0b2813-437d-432b-a26b-5f2c09095780,2024-05-17 09:50:35.997 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B000RH1SRU,new,ATVPDKIKX0DER,Internal,2024-05-17 09:50:35.206 Z,false,true,false,17.95,USD,false,false,12426,84,0,USD,NOW,,24,24,true,"""US""","""NE""",A2GSYIQWM0T181,new
2024-05-17 09:50:35.576 Z,amzn1.sp.solution.c2bed69f-202f-4ce6-ae43-000fdbbb247e,9c0b2813-437d-432b-a26b-5f2c09095780,2024-05-17 09:50:35.997 Z,871c70d2-94d7-4848-86ab-a951d1963e0b,ANY_OFFER_CHANGED,1.0,B000RH1SRU,new,ATVPDKIKX0DER,Internal,2024-05-17 09:50:35.206 Z,false,true,false,17.95,USD,false,false,12426,84,0,USD,NOW,,24,24,true,"""US""","""NE""",A2GSYIQWM0T181,new
