EVENTTIME,OFFERID,ASIN,NOTIFICATIONID,SELLERID,ISBUYBOXWINNER,LISTINGPRICEAMOUNT,LISTINGPRICECURRENCYCODE,PRIMEINFORMATION_ISOFFERNATIONALPRIME,PRIMEINFORMATION_ISOFFERPRIME,SUBCONDITION
2024-05-17 09:50:46.311 Z,7,B004VHJHCU,1b0618a9-b21d-4679-a4f4-616bcdb13237,A32YGV37EPHIKJ,false,24.99,USD,false,false,new
2024-05-17 09:51:25.545 Z,1,B005EGZNVG,bb890693-5e2a-4fb0-bfb3-6396741891f2,A21THNL43P5P1T,true,55.26,USD,true,true,new
2024-05-17 09:51:25.545 Z,2,B005EGZNVG,bb890693-5e2a-4fb0-bfb3-6396741891f2,A2I0HOF5WGMLJC,false,67,USD,false,false,new
2024-05-17 09:51:25.545 Z,3,B005EGZNVG,bb890693-5e2a-4fb0-bfb3-6396741891f2,AFF8XSNGT0QQC,false,53.51,USD,false,false,new
2024-05-17 09:51:25.545 Z,4,B005EGZNVG,bb890693-5e2a-4fb0-bfb3-6396741891f2,A3VNB37QHDEYIR,false,54.09,USD,true,true,new
2024-05-17 09:51:45.858 Z,1,B00AWSSEJE,f241f958-e873-4275-9777-2c576dd84b76,AFF8XSNGT0QQC,true,104.56,USD,false,false,new
2024-05-17 09:51:45.858 Z,2,B00AWSSEJE,f241f958-e873-4275-9777-2c576dd84b76,A2I0HOF5WGMLJC,true,104.29,USD,false,false,new
2024-05-17 09:51:45.858 Z,3,B00AWSSEJE,f241f958-e873-4275-9777-2c576dd84b76,AGBSKTQNEDHK7,false,104.04,USD,false,false,new
2024-05-17 09:51:45.858 Z,4,B00AWSSEJE,f241f958-e873-4275-9777-2c576dd84b76,A32YGV37EPHIKJ,false,111.19,USD,false,false,new
2024-05-17 09:49:59.526 Z,1,B00KJ73Q1O,1792aeb1-11a5-4e48-8224-85c301f3f8fb,A2V74LV9L3ASTD,true,9.99,USD,true,true,new
2024-05-17 09:49:59.526 Z,2,B00KJ73Q1O,1792aeb1-11a5-4e48-8224-85c301f3f8fb,A13NYAASDR0XYP,false,15.78,USD,false,false,new
2024-05-17 09:49:59.526 Z,3,B00KJ73Q1O,1792aeb1-11a5-4e48-8224-85c301f3f8fb,A3ILQ5JJTNHUPQ,false,17.11,USD,true,true,new
2024-05-17 09:49:59.526 Z,4,B00KJ73Q1O,1792aeb1-11a5-4e48-8224-85c301f3f8fb,A1ECJT9FQ4WMHJ,false,9.93,USD,false,false,new
2024-05-17 09:49:59.526 Z,5,B00KJ73Q1O,1792aeb1-11a5-4e48-8224-85c301f3f8fb,A13NYAASDR0XYP,false,15.78,USD,false,false,new
2024-05-17 09:49:59.526 Z,6,B00KJ73Q1O,1792aeb1-11a5-4e48-8224-85c301f3f8fb,A32YGV37EPHIKJ,false,9.99,USD,false,false,new
2024-05-17 09:49:59.526 Z,7,B00KJ73Q1O,1792aeb1-11a5-4e48-8224-85c301f3f8fb,A147ASZ83GESTI,false,11.2,USD,false,false,new
2024-05-17 09:49:59.526 Z,8,B00KJ73Q1O,1792aeb1-11a5-4e48-8224-85c301f3f8fb,A2I0HOF5WGMLJC,false,12.21,USD,false,false,new
2024-05-17 09:49:59.526 Z,9,B00KJ73Q1O,1792aeb1-11a5-4e48-8224-85c301f3f8fb,A2GSYIQWM0T181,false,12.87,USD,false,false,new
2024-05-17 09:49:59.526 Z,10,B00KJ73Q1O,1792aeb1-11a5-4e48-8224-85c301f3f8fb,AFF8XSNGT0QQC,false,12.22,USD,false,false,new
2024-05-17 09:49:59.526 Z,11,B00KJ73Q1O,1792aeb1-11a5-4e48-8224-85c301f3f8fb,A1G2IX65IQJHUO,false,13.67,USD,false,true,new
2024-05-17 09:49:59.526 Z,12,B00KJ73Q1O,1792aeb1-11a5-4e48-8224-85c301f3f8fb,A3A5024GKCOK6V,false,15.16,USD,false,false,new
2024-05-17 09:49:59.526 Z,13,B00KJ73Q1O,1792aeb1-11a5-4e48-8224-85c301f3f8fb,A3F2UBJ6MNDDM5,false,9.95,USD,false,false,new
2024-05-17 09:49:59.526 Z,14,B00KJ73Q1O,1792aeb1-11a5-4e48-8224-85c301f3f8fb,A37RYXSF82P86Q,false,11.69,USD,false,false,new
2024-05-17 09:49:59.526 Z,15,B00KJ73Q1O,1792aeb1-11a5-4e48-8224-85c301f3f8fb,ABOPLAY6RS86X,false,11.32,USD,false,false,new
2024-05-17 09:49:59.526 Z,16,B00KJ73Q1O,1792aeb1-11a5-4e48-8224-85c301f3f8fb,A14L21XUKD9T4O,false,9.99,USD,true,true,new
2024-05-17 09:50:57.759 Z,1,B00KJ75UIQ,b4cc4b52-7648-4459-83ac-0f1f29a65e93,A2V74LV9L3ASTD,true,9.37,USD,true,true,new
2024-05-17 09:50:57.759 Z,2,B00KJ75UIQ,b4cc4b52-7648-4459-83ac-0f1f29a65e93,A37RYXSF82P86Q,true,9.23,USD,false,false,new
